aikido_issue_id,aikido_issue_group_id,type,status,severity,severity_score,original_cvss_severity_score,affected_package,affected_file,affected_domain,related_license,related_cve,related_cve_alias,rule,code_repo,code_repo_branch,cloud,cloud_resource,cloud_region,related_arn,container,virtual_machine,first_detected_at,closed_at,ignored_at,ignored_by,ignore_reason,snooze_reason,start_line,end_line,time_to_fix_minutes,sla_date,cwe_description,secret_liveness,installed_version,patched_version
270021161,29668894,open_source,open,medium,45,44,golang.org/x/net,enygma_payments/gnark-server/go.mod,,,CVE-2025-22870,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,30,,,,v0.25.0,0.36.0
270021409,29668894,open_source,open,medium,45,44,golang.org/x/net,enygma_retail_payments/gnark_circuits/go.mod,,,CVE-2025-22870,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,30,,,,v0.25.0,0.36.0
270020783,29668896,open_source,open,medium,53,53,bn.js,enygma_dvp/package-lock.json,,,CVE-2026-2739,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,15,,"Attacker can trigger DOS via infinite loop",,5.2.2,5.2.3
270020872,29668896,open_source,open,medium,53,53,bn.js,enygma_payments/contracts/enygma/package-lock.json,,,CVE-2026-2739,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,15,,"Attacker can trigger DOS via infinite loop",,5.2.1,5.2.3
270021113,29668965,open_source,open,medium,53,53,tmp,enygma_payments/contracts/enygma/package-lock.json,,,CVE-2025-54798,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,30,,,,0.0.33,0.2.4
270021253,29668979,open_source,open,medium,53,53,aiohttp,enygma_payments/run_scripts/requirements.txt,,,CVE-2025-69230,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,30,,,,3.11.18,3.13.3
270021272,29668979,open_source,open,medium,53,53,aiohttp,enygma_payments/run_scripts/requirements.txt,,,CVE-2026-34518,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,30,,"Accidental exposure of sensitive info possible",,3.11.18,3.13.4
270020815,29616938,open_source,open,medium,44,44,ws,enygma_dvp/package-lock.json,,,CVE-2026-45736,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,30,,"Resource may not have been properly initialized",,8.18.0,8.20.1
270020766,29668888,open_source,open,low,38,75,github.com/consensys/gnark-crypto,enygma_dvp/gnark_circuits/go.mod,,,GHSA-fj2x-735w-74vq,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,30,,"Attacker can trigger DOS-attack",,v0.15.0,0.18.1
270020828,29668888,open_source,open,low,38,75,github.com/consensys/gnark-crypto,enygma_dvp/scripts/go.mod,,,GHSA-fj2x-735w-74vq,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,15,,"Attacker can trigger DOS-attack",,v0.18.0,0.18.1
270020839,29668888,open_source,open,low,38,75,github.com/consensys/gnark-crypto,enygma_dvp/src/go.mod,,,GHSA-fj2x-735w-74vq,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,15,,"Attacker can trigger DOS-attack",,v0.18.0,0.18.1
270020849,29668888,open_source,open,low,38,75,github.com/consensys/gnark-crypto,enygma_dvp/test/go.mod,,,GHSA-fj2x-735w-74vq,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,15,,"Attacker can trigger DOS-attack",,v0.18.0,0.18.1
270021156,29668888,open_source,open,low,38,75,github.com/consensys/gnark-crypto,enygma_payments/gnark-server/go.mod,,,GHSA-fj2x-735w-74vq,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,30,,"Attacker can trigger DOS-attack",,v0.17.0,0.18.1
270021168,29668888,open_source,open,low,38,75,github.com/consensys/gnark-crypto,enygma_payments/go_client/go.mod,,,GHSA-fj2x-735w-74vq,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,30,,"Attacker can trigger DOS-attack",,v0.12.1,0.18.1
270021404,29668888,open_source,open,low,38,75,github.com/consensys/gnark-crypto,enygma_retail_payments/gnark_circuits/go.mod,,,GHSA-fj2x-735w-74vq,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,30,,"Attacker can trigger DOS-attack",,v0.15.0,0.18.1
270021411,29668888,open_source,open,low,38,75,github.com/consensys/gnark-crypto,enygma_retail_payments/scripts/go.mod,,,GHSA-fj2x-735w-74vq,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,15,,"Attacker can trigger DOS-attack",,v0.18.0,0.18.1
270021419,29668888,open_source,open,low,38,75,github.com/consensys/gnark-crypto,enygma_retail_payments/test/go.mod,,,GHSA-fj2x-735w-74vq,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,15,,"Attacker can trigger DOS-attack",,v0.18.0,0.18.1
270020968,29668947,open_source,open,low,38,75,cbor2,enygma_payments/run_scripts/requirements.txt,,,AIKIDO-2025-10756,CVE-2025-64076,,Enygma,main,,,,,,,2026-05-19,,,,,,,,30,,"Attacker can trigger DOS-attack",,5.6.5,5.7.1
270020933,29668940,open_source,open,low,37,37,cookie,enygma_payments/contracts/enygma/package-lock.json,,,CVE-2024-47764,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,30,,"Attacker can inject extra unwanted content or code",,0.4.2,0.7.0
270021295,29668986,sast,open,low,35,75,,enygma_dvp/scripts/initCircuits.go,,,,,"Possible command injection via shell script",Enygma,main,,,,,,,2026-05-19,,,,,,137,137,60,,,,,
270021296,29668986,sast,open,low,35,75,,enygma_dvp/scripts/initCircuits.go,,,,,"Possible command injection via shell script",Enygma,main,,,,,,,2026-05-19,,,,,,146,146,60,,,,,
270021344,29668990,open_source,open,low,33,33,pygments,enygma_payments/run_scripts/requirements.txt,,,CVE-2026-4539,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,30,,"Attacker can trigger DOS-attack",,2.19.1,2.20.0
270020983,29668949,open_source,open,low,30,30,ckzg,enygma_payments/run_scripts/requirements.txt,,,AIKIDO-2025-10669,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,15,,"Attacker can abuse inadequate encryption strength",,2.1.1,2.1.5
270021215,29668982,open_source,open,low,30,30,vyper,enygma_payments/run_scripts/requirements.txt,,,AIKIDO-2025-10348,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,15,,,,0.4.1,0.4.2
270021380,29668982,open_source,open,low,29,29,vyper,enygma_payments/run_scripts/requirements.txt,,,CVE-2025-47285,,,Enygma,main,,,,,,,2026-05-19,,,,,,,,0,,,,0.4.1,
270021389,29668999,leaked_secret,open,low,27,80,,enygma_retail_payments/test/helpers_test.go,,,,,generic-api-key,Enygma,main,,,,,,,2026-05-19,,,,,,27,27,60,,,unknown,,
270021390,29668999,leaked_secret,open,low,27,80,,enygma_retail_payments/test/helpers_test.go,,,,,generic-api-key,Enygma,main,,,,,,,2026-05-19,,,,,,31,31,60,,,unknown,,
270021392,29668999,leaked_secret,open,low,20,80,,enygma_dvp/test/04_v2_erc20_onchain_test.go,,,,,generic-api-key,Enygma,main,,,,,,,2026-05-19,,,,,,40,40,60,,,unknown,,
270021391,29669000,leaked_secret,open,low,27,80,,enygma_dvp/test/helpers_test.go,,,,,generic-api-key,Enygma,main,,,,,,,2026-05-19,,,,,,28,28,60,,,unknown,,
